QV96140,El Duque en su territorio,Fiorella Florencio Polo,12,37.47
KC34197,Las demoliciones de Paris,Zkenia Chung Zuniga,10,294.26
VA35843,L-ecole des menages,Walter  Jolay Chumpitaz,14,234.01
XN48844,The Countess de Charny,Rosario Tabori Arias,30,265.70
IW10872,El Club de los explotadores,Cesar Rodriguez Serrano,5,263.45
ZR63735,Elogio de la madrastra,Julio  Vilcara Jugo,26,185.88
FY25192,La hermosa jardinera,Humberto Amezquita Contreras,8,113.40
OC73472,Le Cousin Pons,Jaime Shirakawa Florian,30,413.61
QE47018,El Manuscrito del Domino,Raul  Collado Villa,1,276.71
UW23132,House of Pomegranates,David Perez Antezano,8,441.52
SV17719,Le Colonel Chabert,Cinthia Zegarra Cabello,9,51.20
SA04133,An Ideal Husband,Delicia  Norabuena Zegarra,11,239.17
SK15788,Le Chef-d oeuvre inconnu,Blanca Acuna Ayllon,22,112.52
JO84937,Historia de Mayra,Valentina Urbina Antezano,27,53.48
NF53199,Suspense,Emilio Gonzales Aguirre,17,367.64
BB35881,Una Navidad,Edilberto Mori Suarez,4,32.80
XW06135,The Nutcracker,Humberto Vargas Guevara,4,77.27
QO90975,La Peau de chagrin,Janet Aranda Minaya,30,158.03
TA81777,Musica para camaleones,Luz Jauregui Bravo,3,218.59
FW74175,La Cousine Bette,Surami Preciado Pinto,18,279.44
OT07742,La Fille aux yeux d-or,Alfonso Cabello Lam,13,195.87
PL70268,Lady -- Windermeres Fan,Victor Garcia Astete,4,329.24
QA53897,The Corsican Brothers,Ofelia Mercado Caro,8,62.87
ZQ38637,La casa grade,Delicia  Arca Aquino,7,214.72
PT00038,El nino perdido,Giovana  Mejia Zegarra,3,80.23
FY82455,La guerra del fin de siglo,Milena Zarate Acuna,13,352.36
KW25071,La Resurrección de Rocambole,Francisco  Zimic Salas,4,313.22
ZK87496,Beat the Devil,Miguel Landeo Estrada,19,178.81
BH96036,Los tesoros del Rajah,Delicia Arca Leiva,6,360.73
LM05731,Le Chevalier de Maison - Rouge,Yliana Ortiz Guevara,12,352.26
XQ03477,Les Ressources de Quinola,Johan Ayala Zevallos,19,369.37
ZM20053,The Fencing Master,Felicita Castillo Chung,5,26.41
MG75057,Un viaje de 75 dias,Victoria Shirakawa Saona,18,350.67
